alignment_name,member_end,member_start,ref_end,ref_start,sequence_id,source_name
AL_1a,528,265,1823,1560,DQ506840,ncbi-curated
AL_1a,252,1,1559,1308,DQ506841,ncbi-curated
AL_1a,528,265,1823,1560,DQ506841,ncbi-curated
AL_1a,252,1,1559,1308,DQ506842,ncbi-curated
AL_1a,528,265,1823,1560,DQ506842,ncbi-curated
AL_1a,252,1,1559,1308,DQ506843,ncbi-curated
AL_1a,528,265,1823,1560,DQ506843,ncbi-curated
AL_1a,252,1,1559,1308,DQ506844,ncbi-curated
AL_1a,528,265,1823,1560,DQ506844,ncbi-curated
AL_1a,252,1,1559,1308,DQ506845,ncbi-curated
AL_1a,528,265,1823,1560,DQ506845,ncbi-curated
AL_1a,252,1,1559,1308,DQ506846,ncbi-curated
AL_1a,528,265,1823,1560,DQ506846,ncbi-curated
AL_1a,252,1,1559,1308,DQ506847,ncbi-curated
AL_1a,528,265,1823,1560,DQ506847,ncbi-curated
AL_1a,252,1,1559,1308,DQ506848,ncbi-curated
AL_1a,528,265,1823,1560,DQ506848,ncbi-curated
AL_1a,252,1,1559,1308,DQ506849,ncbi-curated
AL_1a,528,265,1823,1560,DQ506849,ncbi-curated
AL_1a,252,1,1559,1308,DQ506850,ncbi-curated
AL_1a,528,265,1823,1560,DQ506850,ncbi-curated
AL_1a,252,1,1559,1308,DQ506851,ncbi-curated
AL_1a,528,265,1823,1560,DQ506851,ncbi-curated
AL_1a,252,1,1559,1308,DQ506852,ncbi-curated
AL_1a,528,265,1823,1560,DQ506852,ncbi-curated
AL_1a,252,1,1559,1308,DQ506853,ncbi-curated
AL_1a,528,265,1823,1560,DQ506853,ncbi-curated
AL_1a,252,1,1559,1308,DQ506854,ncbi-curated
AL_1a,528,265,1823,1560,DQ506854,ncbi-curated
AL_1a,252,1,1559,1308,DQ506855,ncbi-curated
AL_1a,528,265,1823,1560,DQ506855,ncbi-curated
AL_1a,252,1,1559,1308,DQ506856,ncbi-curated
AL_1a,528,265,1823,1560,DQ506856,ncbi-curated
AL_1a,252,1,1559,1308,DQ506857,ncbi-curated
AL_1a,528,265,1823,1560,DQ506857,ncbi-curated
AL_1a,252,1,1559,1308,DQ506858,ncbi-curated
AL_1a,528,265,1823,1560,DQ506858,ncbi-curated
AL_1a,252,1,1559,1308,DQ506859,ncbi-curated
AL_1a,528,265,1823,1560,DQ506859,ncbi-curated
AL_1a,252,1,1559,1308,DQ506860,ncbi-curated
AL_1a,528,265,1823,1560,DQ506860,ncbi-curated
AL_1a,252,1,1559,1308,DQ506861,ncbi-curated
AL_1a,528,265,1823,1560,DQ506861,ncbi-curated
AL_1a,249,1,1556,1308,DQ506862,ncbi-curated
AL_1a,528,262,1823,1557,DQ506862,ncbi-curated
AL_1a,249,1,1556,1308,DQ506863,ncbi-curated
AL_1a,528,262,1823,1557,DQ506863,ncbi-curated
AL_1a,249,1,1556,1308,DQ506864,ncbi-curated
AL_1a,528,262,1823,1557,DQ506864,ncbi-curated
AL_1a,249,1,1556,1308,DQ506865,ncbi-curated
AL_1a,528,262,1823,1557,DQ506865,ncbi-curated
AL_1a,249,1,1556,1308,DQ506866,ncbi-curated
AL_1a,528,262,1823,1557,DQ506866,ncbi-curated
AL_1a,249,1,1556,1308,DQ506867,ncbi-curated
AL_1a,528,262,1823,1557,DQ506867,ncbi-curated
AL_1a,249,1,1556,1308,DQ506868,ncbi-curated
AL_1a,528,262,1823,1557,DQ506868,ncbi-curated
AL_1a,249,1,1556,1308,DQ506869,ncbi-curated
AL_1a,528,262,1823,1557,DQ506869,ncbi-curated
AL_1a,249,1,1556,1308,DQ506870,ncbi-curated
AL_1a,528,262,1823,1557,DQ506870,ncbi-curated
AL_1a,246,1,1553,1308,DQ506871,ncbi-curated
AL_1a,528,259,1823,1554,DQ506871,ncbi-curated
AL_1a,249,1,1556,1308,DQ506872,ncbi-curated
AL_1a,528,262,1823,1557,DQ506872,ncbi-curated
AL_1a,249,1,1556,1308,DQ506873,ncbi-curated
AL_1a,528,262,1823,1557,DQ506873,ncbi-curated
AL_1a,249,1,1556,1308,DQ506874,ncbi-curated
AL_1a,528,262,1823,1557,DQ506874,ncbi-curated
AL_1a,249,1,1556,1308,DQ506875,ncbi-curated
AL_1a,528,262,1823,1557,DQ506875,ncbi-curated
AL_1a,249,1,1556,1308,DQ506876,ncbi-curated
AL_1a,528,262,1823,1557,DQ506876,ncbi-curated
AL_1a,249,1,1556,1308,DQ506877,ncbi-curated
AL_1a,528,262,1823,1557,DQ506877,ncbi-curated
AL_1a,249,1,1556,1308,DQ506878,ncbi-curated
AL_1a,528,262,1823,1557,DQ506878,ncbi-curated
AL_1a,249,1,1556,1308,DQ506879,ncbi-curated
AL_1a,528,262,1823,1557,DQ506879,ncbi-curated
AL_1a,249,1,1556,1308,DQ506880,ncbi-curated
AL_1a,528,262,1823,1557,DQ506880,ncbi-curated
AL_1a,249,1,1556,1308,DQ506881,ncbi-curated
AL_1a,528,262,1823,1557,DQ506881,ncbi-curated
AL_1a,249,1,1556,1308,DQ506882,ncbi-curated
AL_1a,528,262,1823,1557,DQ506882,ncbi-curated
AL_1a,249,1,1556,1308,DQ506883,ncbi-curated
AL_1a,528,262,1823,1557,DQ506883,ncbi-curated
AL_1a,249,1,1556,1308,DQ506884,ncbi-curated
AL_1a,528,262,1823,1557,DQ506884,ncbi-curated
AL_1a,249,1,1556,1308,DQ506885,ncbi-curated
AL_1a,528,262,1823,1557,DQ506885,ncbi-curated
AL_1a,249,1,1556,1308,DQ506886,ncbi-curated
AL_1a,528,262,1823,1557,DQ506886,ncbi-curated
AL_1a,249,1,1556,1308,DQ506887,ncbi-curated
AL_1a,528,262,1823,1557,DQ506887,ncbi-curated
AL_1a,249,1,1556,1308,DQ506888,ncbi-curated
AL_1a,528,262,1823,1557,DQ506888,ncbi-curated
AL_1a,249,1,1556,1308,DQ506889,ncbi-curated
AL_1a,528,262,1823,1557,DQ506889,ncbi-curated
AL_1a,249,1,1556,1308,DQ506890,ncbi-curated
AL_1a,528,262,1823,1557,DQ506890,ncbi-curated
AL_1a,249,1,1556,1308,DQ506891,ncbi-curated
AL_1a,528,262,1823,1557,DQ506891,ncbi-curated
AL_1a,249,1,1556,1308,DQ506892,ncbi-curated
AL_1a,528,262,1823,1557,DQ506892,ncbi-curated
AL_1a,249,1,1556,1308,DQ506893,ncbi-curated
AL_1a,528,262,1823,1557,DQ506893,ncbi-curated
AL_1a,249,1,1556,1308,DQ506894,ncbi-curated
AL_1a,528,262,1823,1557,DQ506894,ncbi-curated
AL_1a,249,1,1556,1308,DQ506895,ncbi-curated
AL_1a,528,262,1823,1557,DQ506895,ncbi-curated
AL_1a,249,1,1556,1308,DQ506896,ncbi-curated
AL_1a,528,262,1823,1557,DQ506896,ncbi-curated
AL_1a,249,1,1556,1308,DQ506897,ncbi-curated
AL_1a,528,262,1823,1557,DQ506897,ncbi-curated
AL_1a,249,1,1556,1308,DQ506898,ncbi-curated
AL_1a,528,262,1823,1557,DQ506898,ncbi-curated
AL_1a,249,1,1556,1308,DQ506899,ncbi-curated
AL_1a,528,262,1823,1557,DQ506899,ncbi-curated
AL_1a,249,1,1556,1308,DQ506900,ncbi-curated
AL_1a,528,262,1823,1557,DQ506900,ncbi-curated
AL_1a,249,1,1556,1308,DQ506901,ncbi-curated
AL_1a,528,262,1823,1557,DQ506901,ncbi-curated
AL_1a,249,1,1556,1308,DQ506902,ncbi-curated
AL_1a,528,262,1823,1557,DQ506902,ncbi-curated
AL_1a,249,1,1556,1308,DQ506903,ncbi-curated
AL_1a,528,262,1823,1557,DQ506903,ncbi-curated
AL_1a,249,1,1556,1308,DQ506904,ncbi-curated
AL_1a,528,262,1823,1557,DQ506904,ncbi-curated
AL_1a,249,1,1556,1308,DQ506905,ncbi-curated
AL_1a,528,262,1823,1557,DQ506905,ncbi-curated
AL_1a,249,1,1556,1308,DQ506906,ncbi-curated
AL_1a,528,262,1823,1557,DQ506906,ncbi-curated
AL_1a,249,1,1556,1308,DQ506907,ncbi-curated
AL_1a,528,262,1823,1557,DQ506907,ncbi-curated
AL_1a,249,1,1556,1308,DQ506908,ncbi-curated
AL_1a,528,262,1823,1557,DQ506908,ncbi-curated
AL_1a,249,1,1556,1308,DQ506909,ncbi-curated
AL_1a,528,262,1823,1557,DQ506909,ncbi-curated
AL_1a,249,1,1556,1308,DQ506910,ncbi-curated
AL_1a,528,262,1823,1557,DQ506910,ncbi-curated
AL_1a,249,1,1556,1308,DQ506911,ncbi-curated
AL_1a,528,262,1823,1557,DQ506911,ncbi-curated
AL_1a,249,1,1556,1308,DQ506912,ncbi-curated
AL_1a,528,262,1823,1557,DQ506912,ncbi-curated
AL_1a,249,1,1556,1308,DQ506913,ncbi-curated
AL_1a,528,262,1823,1557,DQ506913,ncbi-curated
AL_1a,249,1,1556,1308,DQ506914,ncbi-curated
AL_1a,528,262,1823,1557,DQ506914,ncbi-curated
AL_1a,249,1,1556,1308,DQ506915,ncbi-curated
AL_1a,528,262,1823,1557,DQ506915,ncbi-curated
AL_1a,249,1,1556,1308,DQ506916,ncbi-curated
AL_1a,528,262,1823,1557,DQ506916,ncbi-curated
AL_1a,249,1,1556,1308,DQ506917,ncbi-curated
AL_1a,528,262,1823,1557,DQ506917,ncbi-curated
AL_1a,249,1,1556,1308,DQ506918,ncbi-curated
AL_1a,528,262,1823,1557,DQ506918,ncbi-curated
AL_1a,528,1,1835,1308,DQ506919,ncbi-curated
AL_1a,528,1,1835,1308,DQ506920,ncbi-curated
AL_1a,528,1,1835,1308,DQ506921,ncbi-curated
AL_1a,528,1,1835,1308,DQ506922,ncbi-curated
AL_1a,528,1,1835,1308,DQ506923,ncbi-curated
AL_1a,528,1,1835,1308,DQ506924,ncbi-curated
AL_1a,528,1,1835,1308,DQ506925,ncbi-curated
AL_1a,528,1,1835,1308,DQ506926,ncbi-curated
AL_1a,528,1,1835,1308,DQ506927,ncbi-curated
AL_1a,528,1,1835,1308,DQ506928,ncbi-curated
AL_1a,528,1,1835,1308,DQ506929,ncbi-curated
AL_1a,528,1,1835,1308,DQ506930,ncbi-curated
AL_1a,528,1,1835,1308,DQ506931,ncbi-curated
AL_1a,528,1,1835,1308,DQ506932,ncbi-curated
AL_1a,528,1,1835,1308,DQ506933,ncbi-curated
AL_1a,528,1,1835,1308,DQ506934,ncbi-curated
AL_1a,528,1,1835,1308,DQ506935,ncbi-curated
AL_1a,528,1,1835,1308,DQ506936,ncbi-curated
AL_1a,528,1,1835,1308,DQ506937,ncbi-curated
AL_1a,528,1,1835,1308,DQ506938,ncbi-curated
AL_1a,528,1,1835,1308,DQ506939,ncbi-curated
AL_1a,528,1,1835,1308,DQ506940,ncbi-curated
AL_1a,528,1,1835,1308,DQ506941,ncbi-curated
AL_1a,528,1,1835,1308,DQ506942,ncbi-curated
AL_1a,528,1,1835,1308,DQ506943,ncbi-curated
AL_1a,525,1,1832,1308,DQ506944,ncbi-curated
AL_1a,528,1,1835,1308,DQ506945,ncbi-curated
AL_1a,528,1,1835,1308,DQ506946,ncbi-curated
AL_1a,528,1,1835,1308,DQ506947,ncbi-curated
AL_1a,528,1,1835,1308,DQ506948,ncbi-curated
AL_1a,528,1,1835,1308,DQ506949,ncbi-curated
AL_1a,528,1,1835,1308,DQ506950,ncbi-curated
AL_1a,528,1,1835,1308,DQ506951,ncbi-curated
AL_1a,528,1,1835,1308,DQ506952,ncbi-curated
AL_1a,528,1,1835,1308,DQ506953,ncbi-curated
AL_1a,528,1,1835,1308,DQ506954,ncbi-curated
AL_1a,528,1,1835,1308,DQ506955,ncbi-curated
AL_1a,528,1,1835,1308,DQ506956,ncbi-curated
AL_4d,525,1,1725,1201,DQ506957,ncbi-curated
AL_4d,528,1,1728,1201,DQ506958,ncbi-curated
AL_4d,528,1,1728,1201,DQ506959,ncbi-curated
AL_4d,528,1,1728,1201,DQ506960,ncbi-curated
AL_1a,528,1,1835,1308,DQ506961,ncbi-curated
AL_1a,528,1,1835,1308,DQ506962,ncbi-curated
AL_1a,528,1,1835,1308,DQ506963,ncbi-curated
AL_3a,471,1,1776,1306,DQ506964,ncbi-curated
AL_3a,528,472,1836,1780,DQ506964,ncbi-curated
AL_2c,528,1,1834,1307,DQ506965,ncbi-curated
AL_2c,528,1,1834,1307,DQ506966,ncbi-curated
AL_1a,528,1,1835,1308,DQ506967,ncbi-curated
AL_1a,528,1,1835,1308,DQ506968,ncbi-curated
AL_1a,528,1,1835,1308,DQ506969,ncbi-curated
AL_1a,528,1,1835,1308,DQ506970,ncbi-curated
AL_1a,528,1,1835,1308,DQ506971,ncbi-curated
AL_1a,528,1,1835,1308,DQ506972,ncbi-curated
AL_1a,528,1,1835,1308,DQ506973,ncbi-curated
AL_1a,528,1,1835,1308,DQ506974,ncbi-curated
AL_1a,528,1,1835,1308,DQ506975,ncbi-curated
AL_1a,528,1,1835,1308,DQ506976,ncbi-curated
AL_1a,528,1,1835,1308,DQ506977,ncbi-curated
AL_1a,528,1,1835,1308,DQ506978,ncbi-curated
AL_1a,528,1,1835,1308,DQ506979,ncbi-curated
AL_1a,528,1,1835,1308,DQ506980,ncbi-curated
AL_1a,528,1,1835,1308,DQ506981,ncbi-curated
AL_1a,528,1,1835,1308,DQ506982,ncbi-curated
AL_1a,528,1,1835,1308,DQ506983,ncbi-curated
AL_1a,528,1,1835,1308,DQ506984,ncbi-curated
AL_1a,528,1,1835,1308,DQ506985,ncbi-curated
AL_1a,528,1,1835,1308,DQ506986,ncbi-curated
AL_1a,528,1,1835,1308,DQ506987,ncbi-curated
AL_1a,528,1,1835,1308,DQ506988,ncbi-curated
AL_1a,528,1,1835,1308,DQ506989,ncbi-curated
AL_1a,528,1,1835,1308,DQ506990,ncbi-curated
AL_1a,528,1,1835,1308,DQ506991,ncbi-curated
AL_1a,528,1,1835,1308,DQ506992,ncbi-curated
AL_1a,528,1,1835,1308,DQ506993,ncbi-curated
AL_1a,528,1,1835,1308,DQ506994,ncbi-curated
AL_1a,528,1,1835,1308,DQ506995,ncbi-curated
AL_1a,528,1,1835,1308,DQ506996,ncbi-curated
AL_1a,528,1,1835,1308,DQ506997,ncbi-curated
AL_1a,528,1,1835,1308,DQ506998,ncbi-curated
AL_1a,528,1,1835,1308,DQ506999,ncbi-curated
AL_1a,528,1,1835,1308,DQ507000,ncbi-curated
AL_1a,528,1,1835,1308,DQ507001,ncbi-curated
AL_1a,528,1,1835,1308,DQ507002,ncbi-curated
AL_1a,528,1,1835,1308,DQ507003,ncbi-curated
AL_1a,528,1,1835,1308,DQ507004,ncbi-curated
AL_1a,528,1,1835,1308,DQ507005,ncbi-curated
AL_1a,528,1,1835,1308,DQ507006,ncbi-curated
AL_1a,528,1,1835,1308,DQ507007,ncbi-curated
AL_1a,528,1,1835,1308,DQ507008,ncbi-curated
AL_1a,528,1,1835,1308,DQ507009,ncbi-curated
AL_1a,528,1,1835,1308,DQ507010,ncbi-curated
AL_1a,528,1,1835,1308,DQ507011,ncbi-curated
AL_1a,528,1,1835,1308,DQ507012,ncbi-curated
AL_1a,528,1,1835,1308,DQ507013,ncbi-curated
AL_1a,528,1,1835,1308,DQ507014,ncbi-curated
AL_1a,528,1,1835,1308,DQ507015,ncbi-curated
AL_1a,528,1,1835,1308,DQ507016,ncbi-curated
AL_1a,528,1,1835,1308,DQ507017,ncbi-curated
AL_1a,528,1,1835,1308,DQ507018,ncbi-curated
AL_1a,528,1,1835,1308,DQ507019,ncbi-curated
AL_1a,528,1,1835,1308,DQ507020,ncbi-curated
AL_1a,528,1,1835,1308,DQ507021,ncbi-curated
AL_1a,528,1,1835,1308,DQ507022,ncbi-curated
AL_1a,528,1,1835,1308,DQ507023,ncbi-curated
AL_1a,528,1,1835,1308,DQ507024,ncbi-curated
AL_1a,528,1,1835,1308,DQ507025,ncbi-curated
AL_1a,528,1,1835,1308,DQ507026,ncbi-curated
AL_1a,528,1,1835,1308,DQ507027,ncbi-curated
AL_1a,528,1,1835,1308,DQ507028,ncbi-curated
AL_1a,528,1,1835,1308,DQ507029,ncbi-curated
AL_1a,528,1,1835,1308,DQ507030,ncbi-curated
AL_1a,528,1,1835,1308,DQ507031,ncbi-curated
AL_1a,528,1,1835,1308,DQ507032,ncbi-curated
AL_1a,528,1,1835,1308,DQ507033,ncbi-curated
AL_1a,528,1,1835,1308,DQ507034,ncbi-curated
AL_1a,528,1,1835,1308,DQ507035,ncbi-curated
AL_1a,528,1,1835,1308,DQ507036,ncbi-curated
AL_1a,528,1,1835,1308,DQ507037,ncbi-curated
AL_1a,528,1,1835,1308,DQ507038,ncbi-curated
AL_1a,528,1,1835,1308,DQ507039,ncbi-curated
AL_1a,528,1,1835,1308,DQ507040,ncbi-curated
AL_1a,528,1,1835,1308,DQ507041,ncbi-curated
AL_1a,528,1,1835,1308,DQ507042,ncbi-curated
AL_1a,528,1,1835,1308,DQ507043,ncbi-curated
AL_1a,528,1,1835,1308,DQ507044,ncbi-curated
AL_1a,528,1,1835,1308,DQ507045,ncbi-curated
AL_1a,528,1,1835,1308,DQ507046,ncbi-curated
AL_1a,528,1,1835,1308,DQ507047,ncbi-curated
AL_1a,528,1,1835,1308,DQ507048,ncbi-curated
AL_1a,528,1,1835,1308,DQ507049,ncbi-curated
AL_1a,528,1,1835,1308,DQ507050,ncbi-curated
AL_1a,528,1,1835,1308,DQ507051,ncbi-curated
AL_1a,528,1,1835,1308,DQ507052,ncbi-curated
AL_1a,528,1,1835,1308,DQ507053,ncbi-curated
AL_1a,528,1,1835,1308,DQ507054,ncbi-curated
AL_1a,528,1,1835,1308,DQ507055,ncbi-curated
AL_1a,528,1,1835,1308,DQ507056,ncbi-curated
AL_1a,528,1,1835,1308,DQ507057,ncbi-curated
AL_1a,528,1,1835,1308,DQ507058,ncbi-curated
AL_1a,528,1,1835,1308,DQ507059,ncbi-curated
AL_1a,528,1,1835,1308,DQ507060,ncbi-curated
AL_1a,528,1,1835,1308,DQ507061,ncbi-curated
AL_1a,528,1,1835,1308,DQ507062,ncbi-curated
AL_1a,528,1,1835,1308,DQ507063,ncbi-curated
AL_1a,528,1,1835,1308,DQ507064,ncbi-curated
AL_1a,528,1,1835,1308,DQ507065,ncbi-curated
AL_1a,528,1,1835,1308,DQ507066,ncbi-curated
AL_1a,528,1,1835,1308,DQ507067,ncbi-curated
AL_1a,528,1,1835,1308,DQ507068,ncbi-curated
AL_1a,528,1,1835,1308,DQ507069,ncbi-curated
AL_1a,528,1,1835,1308,DQ507070,ncbi-curated
AL_1a,528,1,1835,1308,DQ507071,ncbi-curated
AL_1a,528,1,1835,1308,DQ507072,ncbi-curated
AL_1a,528,1,1835,1308,DQ507073,ncbi-curated
AL_1a,528,1,1835,1308,DQ507074,ncbi-curated
AL_1a,528,1,1835,1308,DQ507075,ncbi-curated
AL_1a,528,1,1835,1308,DQ507076,ncbi-curated
AL_1a,528,1,1835,1308,DQ507077,ncbi-curated
AL_1a,528,1,1835,1308,DQ507078,ncbi-curated
AL_1a,528,1,1835,1308,DQ507079,ncbi-curated
AL_1a,528,1,1835,1308,DQ507080,ncbi-curated
AL_1a,528,1,1835,1308,DQ507081,ncbi-curated
AL_1a,528,1,1835,1308,DQ507082,ncbi-curated
AL_1a,528,1,1835,1308,DQ507083,ncbi-curated
AL_1a,528,1,1835,1308,DQ507084,ncbi-curated
AL_1a,528,1,1835,1308,DQ507085,ncbi-curated
AL_1a,528,1,1835,1308,DQ507086,ncbi-curated
AL_1a,528,1,1835,1308,DQ507087,ncbi-curated
AL_1a,528,1,1835,1308,DQ507088,ncbi-curated
AL_1a,528,1,1835,1308,DQ507089,ncbi-curated
AL_1a,528,1,1835,1308,DQ507090,ncbi-curated
AL_1a,528,1,1835,1308,DQ507091,ncbi-curated
AL_1a,528,1,1835,1308,DQ507092,ncbi-curated
AL_1a,528,1,1835,1308,DQ507093,ncbi-curated
AL_1a,528,1,1835,1308,DQ507094,ncbi-curated
AL_1a,528,1,1835,1308,DQ507095,ncbi-curated
AL_1a,528,1,1835,1308,DQ507096,ncbi-curated
AL_1a,528,1,1835,1308,DQ507097,ncbi-curated
AL_1a,528,1,1835,1308,DQ507098,ncbi-curated
AL_1a,528,1,1835,1308,DQ507099,ncbi-curated
AL_1a,528,1,1835,1308,DQ507100,ncbi-curated
AL_1a,528,1,1835,1308,DQ507101,ncbi-curated
AL_1a,528,1,1835,1308,DQ507102,ncbi-curated
AL_1a,528,1,1835,1308,DQ507103,ncbi-curated
AL_1a,528,1,1835,1308,DQ507104,ncbi-curated
AL_1a,528,1,1835,1308,DQ507105,ncbi-curated
AL_1a,528,1,1835,1308,DQ507106,ncbi-curated
AL_1a,528,1,1835,1308,DQ507107,ncbi-curated
AL_1a,528,1,1835,1308,DQ507108,ncbi-curated
AL_1a,528,1,1835,1308,DQ507109,ncbi-curated
AL_1a,528,1,1835,1308,DQ507110,ncbi-curated
AL_1a,528,1,1835,1308,DQ507111,ncbi-curated
AL_1a,528,1,1835,1308,DQ507112,ncbi-curated
AL_4d,279,46,234,1,DQ516083,ncbi-curated
AL_4d,7050,280,7005,235,DQ516083,ncbi-curated
AL_4d,9300,7051,9258,7009,DQ516083,ncbi-curated
AL_4a,279,6,279,6,DQ516084,ncbi-curated
AL_4a,8052,280,8052,280,DQ516084,ncbi-curated
AL_4a,8079,8053,8082,8056,DQ516084,ncbi-curated
AL_4a,9309,8086,9306,8083,DQ516084,ncbi-curated
AL_6a,513,1,7240,6728,DQ525424,ncbi-curated
AL_6a,513,1,7240,6728,DQ525425,ncbi-curated
AL_6a,513,1,7240,6728,DQ525426,ncbi-curated
AL_6a,513,1,7240,6728,DQ525427,ncbi-curated
AL_6a,513,1,7240,6728,DQ525428,ncbi-curated
AL_6a,513,1,7240,6728,DQ525429,ncbi-curated
AL_6a,513,1,7240,6728,DQ525430,ncbi-curated
AL_6a,513,1,7240,6728,DQ525431,ncbi-curated
AL_6a,513,1,7240,6728,DQ525432,ncbi-curated
AL_6a,513,1,7240,6728,DQ525433,ncbi-curated
AL_6a,513,1,7240,6728,DQ525434,ncbi-curated
AL_1b,313,1,329,17,DQ640336,ncbi-curated
AL_1b,667,314,683,330,DQ640336,ncbi-curated
AL_3a,313,1,339,27,DQ640337,ncbi-curated
AL_3a,667,314,693,340,DQ640337,ncbi-curated
AL_6n,6,1,36,31,DQ640338,ncbi-curated
AL_6n,313,8,342,37,DQ640338,ncbi-curated
AL_6n,667,314,696,343,DQ640338,ncbi-curated
AL_6n,6,1,36,31,DQ640339,ncbi-curated
AL_6n,313,8,342,37,DQ640339,ncbi-curated
AL_6n,667,314,696,343,DQ640339,ncbi-curated
AL_6i,5,1,31,27,DQ640340,ncbi-curated
AL_6i,313,7,338,32,DQ640340,ncbi-curated
AL_6i,667,314,692,339,DQ640340,ncbi-curated
AL_6i,5,1,31,27,DQ640341,ncbi-curated
AL_6i,313,7,338,32,DQ640341,ncbi-curated
AL_6i,667,314,692,339,DQ640341,ncbi-curated
AL_6n,6,1,36,31,DQ640342,ncbi-curated
AL_6n,313,8,342,37,DQ640342,ncbi-curated
AL_6n,667,314,696,343,DQ640342,ncbi-curated
AL_6n,6,1,36,31,DQ640343,ncbi-curated
AL_6n,313,8,342,37,DQ640343,ncbi-curated
AL_6n,667,314,696,343,DQ640343,ncbi-curated
AL_6n,6,1,36,31,DQ640344,ncbi-curated
AL_6n,313,8,342,37,DQ640344,ncbi-curated
AL_6n,667,314,696,343,DQ640344,ncbi-curated
AL_6n,6,1,36,31,DQ640345,ncbi-curated
AL_6n,313,8,342,37,DQ640345,ncbi-curated
AL_6n,667,314,696,343,DQ640345,ncbi-curated
AL_6n,6,1,36,31,DQ640346,ncbi-curated
AL_6n,313,8,342,37,DQ640346,ncbi-curated
AL_6n,667,314,696,343,DQ640346,ncbi-curated
AL_3b,313,1,339,27,DQ640347,ncbi-curated
AL_3b,667,314,693,340,DQ640347,ncbi-curated
AL_3a,313,1,339,27,DQ640348,ncbi-curated
AL_3a,667,314,693,340,DQ640348,ncbi-curated
AL_1a,313,1,341,29,DQ640349,ncbi-curated
AL_1a,667,314,695,342,DQ640349,ncbi-curated
AL_1b,313,1,329,17,DQ640350,ncbi-curated
AL_1b,667,314,683,330,DQ640350,ncbi-curated
AL_1a,313,1,341,29,DQ640351,ncbi-curated
AL_1a,667,314,695,342,DQ640351,ncbi-curated
AL_3,313,1,339,27,DQ640352,ncbi-curated
AL_3,667,314,693,340,DQ640352,ncbi-curated
AL_3b,313,1,339,27,DQ640353,ncbi-curated
AL_3b,667,314,693,340,DQ640353,ncbi-curated
AL_1b,313,1,329,17,DQ640354,ncbi-curated
AL_1b,667,314,683,330,DQ640354,ncbi-curated
AL_1a,313,1,341,29,DQ640355,ncbi-curated
AL_1a,667,314,695,342,DQ640355,ncbi-curated
AL_1a,313,1,341,29,DQ640356,ncbi-curated
AL_1a,667,314,695,342,DQ640356,ncbi-curated
AL_1a,313,1,341,29,DQ640357,ncbi-curated
AL_1a,667,314,695,342,DQ640357,ncbi-curated
AL_3b,313,1,339,27,DQ640358,ncbi-curated
AL_3b,667,314,693,340,DQ640358,ncbi-curated
AL_3a,313,1,339,27,DQ640359,ncbi-curated
AL_3a,667,314,693,340,DQ640359,ncbi-curated
AL_6f,5,1,31,27,DQ640360,ncbi-curated
AL_6f,313,7,338,32,DQ640360,ncbi-curated
AL_6f,667,314,692,339,DQ640360,ncbi-curated
AL_6n,6,1,36,31,DQ640361,ncbi-curated
AL_6n,313,8,342,37,DQ640361,ncbi-curated
AL_6n,667,314,696,343,DQ640361,ncbi-curated
AL_1a,570,1,1865,1296,DQ650805,ncbi-curated
AL_1a,570,1,1865,1296,DQ650806,ncbi-curated
AL_1a,570,1,1865,1296,DQ650807,ncbi-curated
AL_1a,570,1,1865,1296,DQ650808,ncbi-curated
AL_1a,570,1,1865,1296,DQ650809,ncbi-curated
AL_1a,570,1,1865,1296,DQ650810,ncbi-curated
AL_1a,570,1,1865,1296,DQ650811,ncbi-curated
AL_1a,570,1,1865,1296,DQ650812,ncbi-curated
AL_1a,570,1,1865,1296,DQ650813,ncbi-curated
AL_1a,570,1,1865,1296,DQ650814,ncbi-curated
AL_1a,570,1,1865,1296,DQ650815,ncbi-curated
AL_1a,570,1,1865,1296,DQ650816,ncbi-curated
AL_1a,570,1,1865,1296,DQ650817,ncbi-curated
AL_1a,570,1,1865,1296,DQ650818,ncbi-curated
AL_1a,570,1,1865,1296,DQ650819,ncbi-curated
AL_1a,570,1,1865,1296,DQ650820,ncbi-curated
AL_1a,570,1,1865,1296,DQ650821,ncbi-curated
AL_1a,570,1,1865,1296,DQ650822,ncbi-curated
AL_1a,570,1,1865,1296,DQ650823,ncbi-curated
AL_1a,570,1,1865,1296,DQ650824,ncbi-curated
AL_1a,570,1,1865,1296,DQ650825,ncbi-curated
AL_1a,570,1,1865,1296,DQ650826,ncbi-curated
AL_1a,570,1,1865,1296,DQ650827,ncbi-curated
AL_1a,570,1,1865,1296,DQ650828,ncbi-curated
AL_1a,570,1,1865,1296,DQ650829,ncbi-curated
AL_1a,570,1,1865,1296,DQ650830,ncbi-curated
AL_1a,570,1,1865,1296,DQ650831,ncbi-curated
AL_1a,570,1,1865,1296,DQ650832,ncbi-curated
AL_1a,570,1,1865,1296,DQ650833,ncbi-curated
AL_1a,570,1,1865,1296,DQ650834,ncbi-curated
AL_1a,570,1,1865,1296,DQ650835,ncbi-curated
AL_1a,570,1,1865,1296,DQ650836,ncbi-curated
AL_1a,570,1,1865,1296,DQ650837,ncbi-curated
AL_1a,570,1,1865,1296,DQ650838,ncbi-curated
AL_1a,570,1,1865,1296,DQ650839,ncbi-curated
AL_1a,570,1,1865,1296,DQ650840,ncbi-curated
